		
		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
		6	6	7	9	8	8	9	5	6	8	10	10	10	9	7	2	2	7	8	5	7	3	8	9	5	5
1		0	1	1	1	1	1	0	0	2	0	1	0	0	0	0	1	1	1	0	1	2	2	1	0	0	0
2		0	0	1	0	1	2	2	2	1	0	1	0	0	0	1	1	1	1	0	1	1	2	1	0	0	0
3		1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	2	0	1	1	2	1	0	1	0
4		1	1	0	0	1	1	2	1	1	0	1	0	0	0	1	1	0	2	0	1	0	1	1	0	0	0
5		1	1	0	0	0	2	1	2	2	0	1	0	0	0	0	0	0	1	0	1	1	2	1	0	1	0
6		1	1	1	0	1	1	0	1	1	0	1	0	1	0	1	0	1	1	0	1	0	2	1	0	2	0
7		1	1	1	0	1	1	2	0	1	0	1	0	0	0	1	1	0	2	0	1	1	2	1	0	1	1
8		0	0	0	1	0	0	3	2	3	1	0	1	2	1	3	0	0	0	1	2	1	1	0	1	0	2
9		1	1	1	0	1	2	0	2	2	0	1	0	0	0	1	1	0	2	0	0	0	2	1	0	1	0
10		1	1	1	0	1	1	0	0	1	0	1	0	0	0	1	1	0	1	0	1	0	2	1	0	0	0
11		0	0	1	1	1	2	2	2	2	0	1	0	0	0	1	0	1	1	0	1	2	2	1	0	0	0
12		1	1	0	1	0	1	2	0	1	1	0	0	0	1	0	1	1	2	1	1	0	2	1	0	0	0
13		1	0	1	0	1	1	0	2	0	0	1	0	0	0	1	1	0	2	0	0	0	2	1	0	0	1
14		0	0	1	1	1	0	3	1	1	1	0	1	2	1	3	0	0	1	1	2	2	0	0	1	0	2
15		0	0	0	1	0	0	3	1	0	1	0	1	2	1	3	0	0	0	1	2	2	0	0	1	0	2
16		1	0	0	0	1	2	1	2	1	0	1	0	0	0	0	1	0	1	0	1	2	2	1	0	1	2
17		1	1	0	0	1	1	2	1	2	0	1	0	0	0	1	1	0	1	0	0	1	2	1	0	1	1
18		0	0	1	1	0	1	0	1	1	0	0	1	1	1	2	1	1	2	0	2	2	1	1	1	0	2
19		1	0	1	1	1	0	1	0	2	0	0	1	1	1	1.5000	1	1	1	0	1	1	1	1	1	0.3750	2
20		0	1	1	1	1	2	3	2	2	0	0	1	1	1	1.5000	2	1	1	1	0	1	1	0	1	0	1.2222
21		1	1	0	0	1	2	2	2	2	0	1	0	0	0	1.5000	1	1	1.2778	0	1	1	2	1	0	0.3750	1.2222
22		0	1	0	1	1	1	0	1	3	0	0	1	2	1	1.5000	0	1	1.2778	1	1	1	1	0	1	0.3750	1.2222
23		1	1	0	1	1	2	1	2	2	0	0	1	1	0	1.5000	1	1	2	0.2609	0	1	2	1	1	0	2
24		0	0	1	1	1	1	0	0	1	0	1	0	0	0	1.5000	1	1	1.2778	0.2609	1	1	2	0	1	0.3750	1.2222
25		0	1	1	0	1	1	1	2	2	0	1	0	0	0	1.5000	1	0	1.2778	0.2609	0	1	2	1	0	0.3750	1.2222
26		1	1	0	1	0	1	3	0	2	0	0	1	1	0	1.5000	1	1	1.2778	0	0	1	2	1	1	0.3750	1.2222
27		1	1	0	1	0	1	3	1	2	0	1	0	0	0	1.5000	1	0	1.2778	0	1	1	2	1	0	0.3750	1.2222
28		1	1	1	0	1	1	0	0	1	0	1	0	0	0	1.5000	1	0	1.2778	0	0	1	2	1	0	0.3750	1
29		0	1	1	0	1	1	0	0	3	0	1	0	0	1	1.5000	1	0	2	0	2	1	2	1	0	0.3750	1.2222
30		1	0	0	1	1	1	0	0	3	1	0	1	1	1	1.5000	1	2	1.2778	0.2609	0	1	2	0	1	0.3750	2
31		0	1	0	0	1	2	2	2	0	0	1	0	0	0	1.5000	2	2	1.2778	0.2609	0	1	2	1	0	0.3750	1.2222
32		1	1	0	1	0	1	0	1	3	0	0	1	1	1	1	1	1	2	0	2	1	2	1	0	0	2
33		1	1	0	1	0	1	1	1	3	0	0	1	1	1	0	1	1	1.2778	0	2	1	2	0	0	0.3750	1.2222
